상품명,별점,리뷰 제목,리뷰 내용,카테고리1,카테고리2
"샘표 양조간장 701, 1.7L, 2개",5,,"샘표 양조간장 701, 1.7L, 2개


어릴적부터 집간장만 먹어왔던지라,
간장을 고를때에는 TN지수를 확인 하는데요,

요제품은 501도있고 701도 있는데요,
이 숫자는 간장안에 포함되어있는
총 질소 함유값이에요.
TN지수(질소) 등급을 나타내는 지수인데요,
단백질함량 평가 지수로 콩단백질이 얼마나 많이들었나를 나타내는 수치에요.

1%이상은 일반표준,1.3%이상은 고급 1.5%이상은 특급으로 평가된다고 하네요.

701은 1.7%로 501보다 더 고급간장 이랍니다
양조간장은 국간장보다 덜짜고 색은 더진해요.

조림요리나,볶음요리를 할때 양조간장을 넣으면 부드럽고 깊은풍미,감칠맛이 아주 좋더라구요.
제가 먹어본 간장중에 집간장만큼 가장 비슷한
맛을 내는 간장이라 요제품만 먹게되네요.

항상 구매 할때마다 다른곳보다 쿠팡 가격이
저렴해서 자주 구매하게 되네요.
앞으로도 양조간장은 701만 먹을생각입니다.

제글을 읽어 주셔서 감사합니다.(-.-)(_._)
구매 하시는데 조금이나마 도움이 되셨으면 합니다^^



‐----‐---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------☆☆☆☆☆--------------------- ---------------------------------------------------------------------------------
‐----‐---------------------------------------------------------------------------",식품,장/소스/드레싱/식초
"곰곰 샌드위치 햄, 100g, 3팩",5,,"곰곰 샌드위치 햄, 100g, 3팩


재구매 입니다.

요즘은 맞벌이를 하다보니 아침이나 저녁에
간단한 한끼를 찿게 되네요.

돼지고기 국산 90.9%돼지고기 함량도 꾀나높고,
이정도 함량 햄들보면 나머지 부재료는 비슷한것 같더라구요.믿고 먹을수있는 목우촌이라,
쿠팡이 함께 하는것 같아서 믿음이 가네요.
영양가도 좋은것 같아서 재구매 하게됬어요.

3팩이라,생각보다 양도많고,
한팩씩 소분 되있어서,한팩이면 두식구 한끼 먹기에
아주 충분한 양이에요.
한팩에 10장이고,크기도 커서,
저희 소식가들은 생각보다 양이 많네요.
한팩 뜯어서 두번 먹었어요.

바로 먹을수도 있지만 ,후라이팬에 노릇노릇 구워서 밥위에 올려 쌈처럼 싸먹으면 맛있더라구요.
얇지만,고소하고,풍미가있고 씹는맛도 아주 좋아요.

남은햄은 아침으로 간단하게,
샌드위치랑 냉동과일 갈아서 먹고 출근해요.
간단한 아침으로 정말 좋네요.

요즘같이 추운 이른 아침에는,
나이 때문인지;;한끼 거르면 몸이 더 춥더라구요.

먹기 간편하고,맛도좋고,
가격대비 양도 많고,앞으로는 자주 먹게될것 같네요.~

제글을 읽어 주셔서 감사합니다.(-.-)(_._)
구매 하시는데 조금이나마 도움이 되셨으면 합니다^^



‐----‐---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------☆☆☆☆☆--------------------- ---------------------------------------------------------------------------------
‐----‐---------------------------------------------------------------------------
--",싱글라이프,반찬/간편조리식품
"델몬트 허니글로우 바나나, 1kg, 1개",5,,"델몬트 허니글로우 바나나, 1kg, 1개


아주 잘익은 진한 노랑색 바나나가 왔어요~
바나나는
비타민A,비타민C,엽산,비타민B1,비타민B6등
대장활동에 도움이 될수있는, 섬유질도 풍부하고
나트륨을 배출는 칼륨을 포함 ,바나나는 간편하게
포만감을 줄수 있기 때문에 식단조절에
도움을 줄수 있어요!.

오래두고 먹으려면 ,바나나 윗쪽 줄기 부분을
호일이나 랩으로 감싸주면 ,줄기를 통해 산소가
들어가는 것을 막아줘서, 신선한 보관이 가능해요.

바나나는 13도이상 실온 보관해야 하는데, 껍질에
반점이 생겨나기 시작하면, 당도가 높아지고,
이시기가 가장 맛있게 먹을수 있어요.!
"" 슈가포인트 ""라고 불리더 라구요~

슈가포인트가 없어도 노랗게 변한 바나나는, 전분이
당으로 변하면서, 단맛이 강해지고 후숙이 잘되서
먹기좋은 단계가 돼요.

바나나 끝부분에 하얀가루는, 꽃가루 라고 하네요~
바나나를 보관하는 방법은
바나나 밑이 눌리지 않도록
바나나 걸이에 걸어서 보관하면 좋은데요~

저희집은 바나나 걸이가 없기때문에;; >.<
껍질을 까서 냉동실에 얼렸다가 우유,딸기,블루베리
넣고 믹서에 갈아서 마셔요.
달콤,고소,시원한 맛~~~!

바나나 주스는 그 자체로도 달달해요 .
두유를 넣으면 더 고소한 맛도나요!.
바나나 껍질을 벗기면 향이 은은~하게 퍼지는게
기분 좋아지게 하네요^^
변비도 심한 편이라 ...바나나 주스 마시면
신호가 오더라구요 ㅋ
바나나 도움을 받고 있어요 >.<

간식,디저트,한끼식사,다이어트
건강 간식으로 먹을수 있는 바나나~

제글을 읽어 주셔서 감사합니다.(-.-)(_._)
구매 하시는데 조금이나마 도움이 되셨으면 합니다^^


‐----‐---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------☆☆☆☆☆--------------------- ---------------------------------------------------------------------------------
‐----‐---------------------------------------------------------------------------",식품,과일
"덴마크 리코타 치즈, 500g, 1개",5,,"덴마크 리코타 치즈, 500g, 1개


저는 토마토카프레제를 자주 해먹어서
모짜렐라 치즈를 먹는데요,다먹어서 구매하려니
품절이더라구요 리코타치즈도 맛있어서 구매했어요.

토마토,삶은계란,과일,채소류와 함께
리코타 치즈를 올려서 발사믹글레이즈를 뿌려서 먹어도 참 맛이좋은데요
빵에 발라먹어도 맛있어요.

다른 컷팅된 치즈보다 덩어리라서 내마음대로 정해서 원하는 모양대로 뜯을수 있어서 좋습니다.

국산원재료로 신선하게 만들어져서
부드럽고,우유 풍미가좋아서 고소한맛.짜지않고,반할수밖에 없는 리코타치즈~
어른,아이,남녀노소 할것없이 좋아할 맛이죠 ㅋ

치즈는 칼슘도 많아서 건강에 도움도주고
치즈와함께 여러가지 재료들을 섭취할수 있어서
자주 먹게되네요.
500그람 한봉, 두식구 일주일이면 소진되네요.
치즈를 좋아해서 재주문 또하러 갑니다~


제글을 읽어 주셔서 감사합니다.(-.-)(_._)
구매 하시는데 조금이나마 도움이 되셨으면 합니다^^




‐----‐----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------☆☆☆☆☆------------------------------------------------------------------------------------------------
‐----‐---------------------------------------------------------------------------",식품,곤약/방탄커피 외
"오뚜기 옛날 참기름 450ml, 2개",5,,"오뚜기 옛날 참기름, 450ml, 2개


주방에 항상 있어야하는 참기름 ~
콩나물무치고 마지막으로 참기름 넣으려고보니
기름이 똑 떨어져서 항상 먹던 참기름으로
급하게 주문했어요.
다음날 새벽배송이라 쿠팡이 효자에요!

가격은 마트보다 좀더 저렴하네요.
참기름을 많이먹는지라 2병주문이요~
원터치캡을 꾹 눌러주면 양조절되서 좋아요.
캡이 없으면 살짝만 따라도 많이 나오잖아요 ㅋ

수입산 참깨지만,통깨를 볶은후 압착으로 짜낸 참기름이라 고소하고 풍미도있고 향도 좋아요.
방앗간에서 직접짜먹는 참기름맛은 못따라오지만
이정도 맛이면 꾀나 괜찮은것 같아요.

여러가지 음식에 고소함과 풍미를주는 참기름~
저희집은 자주 해먹는 제육볶음,김밥,미역국,등
여러 음식에 많이 넣고 먹어요.
계란말이 할때도 참기름 섞어주면 맛이 더 고소해요.

참기름 중에는 오뚜기 옛날 참기름이
가격대비 가성비 좋고 맛도 좋은것같아요.

제글을 읽어 주셔서 감사합니다.(-.-)(_._)
구매 하시는데 조금이나마 도움이 되셨으면 합니다^^




‐----‐---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------☆☆☆☆☆---
‐----‐---------------------------------------------------------------------------",헬스/건강식품,곤약/방탄커피 외
"메이크프렘 세이프미 릴리프 모이스처 클렌징 밀크 기획 500ml (+폼20ml 2개), 단품",5,,"메이크프렘 세이프미 릴리프 모이스처 클렌징 밀크 기획 500ml (+폼20ml 2개),단품


약산성PH5.5밀크
200ml보다 500ml 가격이 저렴해서
아직 쓰던게 남았지만 미리 주문했어요.

저는 이제품을 오래전부터 사용중인데요,
처음 쓰게된 계기는 얼굴에 자주 생기는
좁쌀 때문에 피부과를 갔을때 세안용으로
클렌징밀크를 쓰라고 하더라구요,
세안용으로 밀크제품이 피부에 좋다고해서
그래서 쓰게됬어요.

이제품을 사용중인 이유는
성분이 너무 좋기 때문이에요.
진정 특허성분 더머 클레라 가 함유되서
빠른 진정효과에 좋으며, 단백질과 보습성분,
피부 노폐물까지 완벽하게 세안할수 있어요.
단백질(콩)
진정 (더머클레라)
보습 (세라마이드, 히알루론산,판테놀)함유.
초미세먼지 세정 임상완료된 클렌징밀크에요.

부드러운 밀크제형이라 마사지 하듯이
문질러주고 화장솜으로 닦아낸후
미온수로 세안하고,2차로 폼클렌징 하고 있어요.
눈화장 아이리무버 부터 닦아낸뒤 밀크씁니다.
속당김 심한,건성이고 예민한 피부지만
요제품쓰면 피부가 부드럽게 세안되고 촉촉해요.
성분좋고 순해서 모든 피부타입에 잘맞을것 같아요.

좁쌀 때문에,아침에는 약산성클렌징
저녁에는 약알카리성 클렌징으로(목까지)
몇년째 세안중인데요,언제부터인가 좁쌀이 작아지더니 없어지더라구요.현제는 좁쌀 없구요,
각질탈락 효과도 있어서 피부도 부드러워졌어요.

용기도 펌핑형이라 쓰기 편해요.
세안만으로 이런 효과를 보다니
쓰면서도 신기하고 너무 좋아요!!!~

앞으로도 평생 사용할 생각입니다.
단종만 안되길...


제글을 읽어 주셔서 감사합니다.(-.-)(_._)
구매 하시는데 조금이나마 도움이 되셨으면 합니다^^





‐----‐----------------------------------------------------------------------------------------------------------------------------------------------------------------------☆☆☆☆☆--------------------------------------------------------------------------------------------------------------------------------------------------------
‐----‐---------------------------------------------------------------------------",뷰티,클렌징/필링
"깨끗한나라 3겹 데코 허브가든 벚꽃 프리미엄 펄프 롤화장지 27m, 30개입, 2개",5,,"깨끗한나라 허브가든 벚꽃 프리미엄 3겹 롤화장지 천연펄프 27m, 30개입, 2개



요제품 쓰다가 다른제품도 한번 써봐야지 하고
썼는데...역시나~깨끗한나라 화장지로
다시 구매 하게됬네요.
한팩보다 두팩가격이 더 저렴해서
쟁여놓고 쓰려고 구매했어요.
두식구라 2팩 주문하면 정말 오래 쓰는것 같네요.

일단은 부드러움이 아주 만족스러워요~
무형광100% 천연펄프 라서 그런지,
뻣뻣함 없고,사용해도 자극없이 부드러워요.
두께도 얇지않고 도톰하구요,
은은한 벗꽃향도 좋아요~

짝꿍도 이제품 마음에 든다고 좋아하네요.
화장실뿐만 아니라 방마다~식탁위에도
먼지 안날리는 요제품 쓰고있어요.

깨끗한나라 화장지도 종류가 많긴하지만,
앞으로는 벗꽃 프리미엄 천연펄프 요제품만!
계속 사용할 생각입니다.

가격대비 가성비 아주 좋습니다!~~~

제글을 읽어 주셔서 감사합니다.(-.-)(_._)
구매 하시는데 조금이나마 도움이 되셨으면 합니다^^





‐----‐--------------------------------------------------------------------------------☆☆☆☆☆☆☆☆☆☆☆☆☆------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
‐----‐----------------------------------------------------------------------",싱글라이프,세제/화장지
"깨끗한나라 3겹 펄프 허브가든 벚꽃 프리미엄 화장지 28m, 30개, 2개",5,,"깨끗한나라 3겹 데코 벚꽃 프리미엄 천연펄프 28m 30롤 3팩, 30개입, 2개


요제품 쓰다가 다른제품도 한번 써봐야지 하고
썼는데...역시나~깨끗한나라 화장지로
다시 구매 하게됬네요.
한팩보다 두팩가격이 더 저렴해서
쟁여놓고 쓰려고 구매했어요.
두식구라 2팩 주문하면 정말 오래 쓰는것 같네요.

일단은 부드러움이 아주 만족스러워요~
무형광100% 천연펄프 라서 그런지,
뻣뻣함 없고,사용해도 자극없이 부드러워요.
두께도 얇지않고 도톰하구요,
은은한 벗꽃향도 좋아요~

짝꿍도 이제품 마음에 든다고 좋아하네요.
화장실뿐만 아니라 방마다~식탁위에도
먼지 안날리는 요제품 쓰고있어요.

깨끗한나라 화장지도 종류가 많긴하지만,
앞으로는 벗꽃 프리미엄 천연펄프 요제품만!
계속 사용할 생각입니다.

가격대비 가성비 아주 좋습니다!~~~

제글을 읽어 주셔서 감사합니다.(-.-)(_._)
구매 하시는데 조금이나마 도움이 되셨으면 합니다^^





‐----‐--------------------------------------------------------------------------------깨끗한나라-----------------------------------------------------------------------------벗꽃------------------------------------------------------------------------------프리미엄---------------------------------------------------------------------------천연펄프------------------------
‐----‐---------------------------------------------------------------------------",싱글라이프,세제/화장지
"국내산 백오이, 3개입, 1개",5,,"국내산 백오이, 3개입, 1개

재구매 입니다~
이번 오이도 무른거없이 깨끗하게
상태 아주 좋습니다.
김밥 만들려고 주문 했어요.

굵은 소금으로 살살 문질러서 씻어준뒤
길게 잘라서 굵은소금 뿌려주고
20분정도 후에 물기를 꽉 짜주면
김밥 속재료 완성입니다~

시금치,부추 넣어도 되지만
오이로 만들면 아삭한 식감이 맛을 더 살려줘서
오이넣고 해먹게 되네요.

오이3개면 김밥20줄 만들어 먹어요~
김밥을 좋아해서 자주 해먹고 있어요.
아삭하고 시원한 오이맛이 아주 좋아요!~

제글을 읽어 주셔서 감사합니다.(-.-)(_._)
구매 하시는데 조금이나마 도움이 되셨으면 합니다^^




‐----‐------------------------------------------------------------------------------------------------------------------------------------------------------------국내산----------------------------------------------------------------------------------백오이---------------------------------------------------------------------------------------------------------------------------------------------
‐----‐---------------------------------------------------------------------------",헬스/건강식품,곤약/방탄커피 외
쿠쿠 몬스터 블렌더 익스트림 CFM-H200XB,5,,"쿠쿠 몬스터 블렌더 익스트림 CFM-H200XB


소비전력1600W
용량2000ml


주스 짜서 먹고싶었는데 운좋게 블렌더를 얻게됬네요.주방에 요런 제품 하나 갖고싶었어요~
저희집에 있는 믹서기는
돌아가는 부분이랑 용기 바닥쪽이 플라스틱이라
닦아도 지저분한데,
요제품은 스텐이라 굉장히 깨끗하고 위생적으로도
좋네요.디자인도 심플하니 이뻐서 맘에들어요.

본체는 무게가 있고 바닥에 미끄럼방지 고무패드가 있어서 흔들림없이 사용할수 있겠네요.

스무디, 주스, 아이스, 분쇄, 4가지나 기능이
있어서,집에있는 믹서기 사용할일이 이제 없을것 같아요ㅋ믹서기는 분쇄기능 하나인데
요제품 주스까지 만들수있다니 대박!
본체랑 용기속 칼날이 육안으로 보기만해도
엄청 튼튼하고 힘있게 느껴지네요.

용기도 만저보니 뭔가 플라스틱 같지않아보여서
설명서보니 아기 젖병만들때 사용하는 트라이탄이라서 열에도 강하다고 하네요.
아기젖병 가격이 높은편인데 이렇게 큰 용기를
트라이탄으로 만들었네요?~와우 `

세척할때도 물,베이킹소다 넣고 레버on 버튼 순간작동으로 윙~돌려주면 간단하게 세척가능하니
편하고 간편하게 쓸수있어서 정말 좋은것같아요.
사용시에도 모터과열되면 자동전원차단 기능도
있다고하니 안전하네요~

기능도 디자인도 뭐하나 빠지는게 없는 제품이네요.
주스 짜먹고싶어서 과일 사러 가야겠어요 ~

제글을 읽어 주셔서 감사합니다.(-.-)(_._)
구매 하시는데 조금이나마 도움이 되셨으면 합니다^^




‐----‐----------------------------------------------------------------------------쿠쿠---------------------------------------------------------------------------------몬스터-----------------------------------------------------------------------------------블렌더-----------------------------------------------------------------------------익스트림------------------------------------------
‐----‐---------------------------------------------------------------------------------------☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆-----------

쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",결혼준비,주방용품
