상품명,별점,리뷰 제목,리뷰 내용,카테고리1,카테고리2
"추억의 도나스, 70g, 8개",5,❤️간식으로 아주 좋아요❤️,"약과도넛으로 시작해서
에이원식품 간식들 종류별로 먹어보고 있어요
약과도넛, 초코도나스 보단 덜 단 느낌 입니다.
껍질 까놓고 보면 구분 안될듯요 ^^;;

O 달긴 하지만 부담스럽지 않은 정도라 좋아요
O 하나는 간식, 두개는 식사대용 될만큼 적당한 크기
O 개별 포장으로 손 가는대로 먹을 수 있어요

X 많이 끈적입니다
X 설탕덩어리가 잘 떨어져요

내돈내산 솔직리뷰입니다

❤️❤️도움이돼요❤️❤️눌러주시면 감사하겠습니다",식품,반찬/간편식/대용식
"약과도넛, 720g, 1개",5,두번째구매,"아침 못챙겨먹고 새벽에 나가는 남편
두유, 요거트 같은거랑 같이 들고 가서
운전하며 먹어요.
달달하고 좋답니다",식품,과자/초콜릿/시리얼
"유아용 사계절 360도 롤링 턱받이6종세트, 남아",5,❤️가성비 최고의 방수 턱받이❤️,"토쟁이 3개월 아가를 키우고 있어요 :)
맘마먹은직후 트름 할 때에도,
누워서 체육관 모빌보며 놀다가도,
목욕 하다가, 기저귀 갈다가....
수시로 꼴록 꼴록 게워내는통에
목부위가 흥건해질때가 많아요.
한두방울 묻은걸로 옷갈아입기 귀찮기도 하고
아기 안았을때 시큼한 토냄새가 나기도 하고...

어디서 본대로 손수건을 삼각으로 접어 묶어 쓰다가
저렴한 턱받이 발견해서 바로 구입...!

:-O 랜덤임에도 불구하고 색상, 디자인이 예쁘고 겹치지 않아요
:-O 도톰한 재질에 부드러워서 만족스러워요
:-O 방수재가 비닐처럼 바스락거리지 않고 방수매트보다 얇게 코팅된 느낌이에요
:-O 실밥정리나 냄새없이 세탁한번하고 바로 사용할 수 있어요

:-X 배송이 며칠 걸리긴 했어요
:-X 누빔재질? 도톰해서 여름엔 덥겠어요. 사계절용은 아닙니다

똑딱이 헐겁다, 부실하다는 리뷰가 있어서 걱정했는데
괜찮아요. 아귀도 잘 맞아 아기 안고 한손으로도 똑딱 할수있어요

내돈내산 솔직리뷰입니다
❤️도움이돼요 ❤️눌러주시면 감사하겠습니다:)",출산/유아동,유아동패션
"도루코 마이셰프 뉴베이직 주방가위 100S, 랜덤발송, 2개",5,❤️ 1+1같은 가격에 가성비 좋은 품질 !!! ❤️,"기존 주방가위가 녹슬기 시작해 안녕해드리고~

새것 찾아보니 가격이 저렴한데 두개 세트라서
어차피 하나만 필요한데 다@소 에서 살까 하다가
추운날씨 나가기 귀찮아서 구입했더니
웬걸~~ 넘 만족스러운거 있죵 !!

:-O 생고기도 숭덩숭덩 잘리는 최고의 절삭력!
:-O 색감 좋고 그립감 좋고 크기 무게 좋고 ~
:-O 호두까기 기능도 포함입니다 ^^

:-X 색이 밝다보니 김치, 고추기름등 색이 묻긴 해요. 건조되면 사라지긴 하는데 시간지나보면 알겠죠 !!!

내돈 내산 솔직 리뷰입니다
❤️도움이돼요 ❤️ 눌러주시면 감사하겠습니다",결혼준비,주방용품
"리리플리 포근곰돌이 수면양말, 5종(랜덤)",1,돈버렸어요,"수면양말소재 털빠짐 있는건 아는데 너무합니다.
앞뒤로 털고 세탁후 신은건데
온집안에 갈색털이 날려서 확인하니 웬걸..
그냥 숭숭빠집니다. 힘준거 아니에요.
출산 후 발이 너무 차서 산건데
산후조리 하러다 화딱지나네요

하나만 불량인줄알고 다른색도 봤는데
다 그렇네요. 싹다버립니다.

차라리 다이소에서 사신는게 훨씬 짱짱하네요",여성패션,가방/잡화
"모윰 올 실리콘 마카롱 쪽쪽이+ 전용케이스, 1단계, 피치핑크, 1세트",5,"부드러운 올실리콘, 강추","쪽쪽이 물릴 생각 없었는데,
어디선가 선물받은 타 쪽쪽이를 원더윅스때 물려주니
숨쉴틈이 생기더라고요 ;
하나로 잘 쓰다가 며칠안가 쪽쪽이 거부시작...
젖병꼭지처럼 ㅗ자로 생긴것이었는데
혹시나해서 다른 쪽쪽이 찾아보다
플라스틱, 고무제형은 쓰기싫고...
좀 예쁜모양이다 싶은건 애기 코에 거슬릴것 같더라고요.

기존에 쓰던것과 모양도 다르고
올실리콘에 코에도 거슬릴것같지 않아서 선택했어요.
부드러워서인지 모양이 제 입에 잘맞는건지
잘 물어주네요 :)

베이지색 사서 잘 쓰다가 하나로는 도저히 돌려 쓸수가 없어
피치핑크 추가구매 했습니다.

ㅇ 개월수에 알맞게 부드러운 재질로 거부감 없었어요
ㅇ 낮잠등 오래 물고 있어도 자국이 남지 않아요
ㅇ 올실리콘이라 떨어지거나 혹시 밟아도 다치거나 부서지지 않아요
ㅇ 케이스 포함 !!!

X 실리콘재질이다보니 먼지는 잘 붙습니다.
아기가 물다 빠져서 옷에만 스쳐도 먼지가.....^^;;


내돈내산 솔직리뷰입니다
❤️❤️도움이돼요❤️❤️ 눌러주시면 감사하겠습니다 :)",출산/유아동,출산준비물/선물
"듀오락 베이비 드롭 프로바이오틱스 플러스 비타민D, 1개, 7.5ml",3,,,식품,곤약/방탄커피 외
"스펙트라 유축클립(모유저장팩에바로연결사용), 1",5,,,출산/유아동,임부/태교용품
"프레티 리얼비타 하이드로겔 립 패치, 30개입, 1개",4,"편해요, 에센스 듬뿍은 아니에요.","한참 건조한 가을 출산으로 입원하게되면서
병원, 조리원 극강의 건조함을 느꼈어요.
한번도 없었던 입술이 부르트는지경까지 ;;
가습기, 마스크팩, 립밤으로도 해결이 안되서
립마스크 급하게 주문...!

페이스 마스크팩처럼 에센스가 촉촉하고 할 줄 알았는데
그냥 하이드로겔 시트만 있는정도에요.
입술이라 그런걸까요?
하이드로겔 시트이기 때문에 금방 마르는 느낌은 아닌데
생각보다 잘 흡수되거나 드라마틱한 효과는 없어요.

립밤과 꾸준히 쓰고 한통 비우고 나니
갈라지고 트고 일어나는건 없어졌습니다.
얼마전엔 골드박스에서 저렴하게 판매 하더라고요
제가격주고는 아깝지만 핫딜일땐 사서 써볼만 합니다.

밀착력은 좋아요
하이드로겔이라 2-30분 붙이고 있는동안 마르지는 않아요
향이 진하지 않아 거부감 없이 편하게 할 수 있어요

생각만큼 촉촉하진 않아요
속뚜껑이 너무 뻑뻑해 아예 빼버리고 썼어요.


내돈내산 솔직리뷰입니다.
❤️❤️도움이돼요❤️❤️ 눌러주시면 감사하겠습니다.",뷰티,스킨케어
"2장세트 빅사이즈 BP-02 노와이어 브라탑 사이즈, 6XL, 스킨2장",5,,,여성패션,속옷/잠옷
"마더라이크 빅사이즈 임산부 수유 런닝 브라 1023, 5XL, 먹색",5,재구매인증,스킨컬러 사고 맘에들어 먹색 또 샀어요,여성패션,속옷/잠옷
"마더라이크 빅사이즈 임산부 수유 런닝 브라 1023, 5XL, 스킨",5,베이지사고 만족해서 그레이도 샀어요,"사이즈가 너무 커서 그런지(120사이즈 입어요)
임신 막달 다와가니 일반브라도 힘들고
수유브라 샀다가 너무 불편해서
수유나시 사봤어요.

가슴 밑에도 받쳐주는 편이고
캡도 도톰해서 니플이 드러나지도 않아요.

두께는 좀 있어서 여름에 입긴 힘들것같아요.

임신 후기라 배가 커서 그런가
계속 입고 생활하다보면 말려올라가긴 해요.

베이지색 샀다가 만족스러워서 그레이로 하나 더 샀어요

사진처럼 마무리가 정교하진 않은데
빅사이즈, 수유기능성에 비해 가격도 저렴하고...
수유중이 아니라도 선선한계절. 겨울에는
이너로 입기 좋을 것 같네요~",여성패션,속옷/잠옷
"2023년 수확한 양파 햇양파 최상품 3kg 5kg 10kg, 1개",5,"상태 최상, 무른것 없음!!","농수산물 사고 이리 만족하긴 처음이에요
항상 무른것 깨진것 하나씩은 섞여오는게 택배의 단점이라고 생각했는데,
마트에서 눈으로 보고 만져보고 사도 꼭 망에 하나씩은
무른거나 말랑한게 있기마련이잖아요?!
장아찌하려고 3키로 사면서 무른거있어도 장아찌용이니 손질해서 쓰려고 그냥 시켰는데,
중량맞추기용 다마내기 사이즈가 몇개 섞여있긴 하지만
통통하고 둥글고 껍질도 상태가 좋은
양파 3키로가 상처 거의없이 도착...

장아찌할거라 받은 당일 다 깠는데, 버린 부분 하나 없이
깨끗해서 너무 놀랐어요.
장아찌하고 큼직한 깐양파 3개는 따로 빼놓았답니다.
농수산물 받고 이리 만족스러운건 처음이에요
재구매의사 100프로!!",식품,곤약/방탄커피 외
"빅걸스토리 빅사이즈 여성용 리버플 패치 포켓 멜빵 끈 롱원피스, 블랙, 2번(XL)",5,,,여성패션,의류
"한아담식품 광천 미스 김자반, 300g, 1개",5,,,식품,반찬/간편식/대용식
"바른생활 좋은칫솔 초극세모, 10개입, 1개",5,,,생활용품,구강/면도
"센트룸 칼슘+D 미니 120g, 120정, 1개",5,,,헬스/건강식품,비타민/미네랄
"레인보우샵 과탄산소다 솝 세탁비누, 160g, 4개",5,,,싱글라이프,세제/화장지
"아웃사이즈 OA5210 빅사이즈 주름반팔+플로랄 드레스 세트 원피스 사은품 양말, 네이비, 6XL",5,,,여성패션,의류
"맑은필터 1+1+1+1활성탄 차동차 에어컨필터(4회교체분), 086C(4개)-아반테AD",5,,,자동차용품,차량관리/소모품
"오버트렁크 빅사이즈 하이웨스트 임부용 레깅스, 3XL, 블랙",5,,,출산/유아동,임부/태교용품
"빅걸스토리 빅사이즈 여성용 리버플 패치 포켓 멜빵 끈 롱원피스, 베이지, 2번(XL)",5,,,여성패션,의류
"린나이 가스레인지2구 와인펄, 택배, 도시가스(LNG), 상세페이지 참조",5,,,주방용품,주방가전
"탐사 스파클링 자몽, 350ml, 24개",5,,,식품,생수/음료
"참소스 하오츠 마라소스, 180g, 3개",5,,,식품,장/소스/드레싱/식초
"메디힐 디엔에이 프로아틴 마스크 팩, 10개입, 1개",5,,,뷰티,스킨케어
