상품명,별점,리뷰 제목,리뷰 내용,카테고리1,카테고리2,userid
"국내산 시금치, 200g, 1개",5,아삭해요~,"◈ 제품명 : 국내산 시금치, 200g, 1개
◈ 구매일자 : 2023.12.30
◈ 도착일자 : 2023.12.31


▶ 제품 요약
☞ 우리 땅에서 자란 국내산 시금치


▶ 후기
새조개 샤브샤브에 넣어서 먹으려고 주문했어요~
색도 진하고 잎이 풍성한 엄청 큰 시금치가 왔고 무른거 없이 싱싱했어요~
보통 샤브샤브에는 시금치를 안넣는데 새조개 샤브샤브에는 넣어야 맛있어서 꼭 주문해서 먹습니다.
시금치를 구매하고 새조개 구매를 실패해서 시금치 무침을 해서 먹었는데 아삭하고 달달하니 맛있어요~

시금치는 뿌리에 영향이 집중되어 있기 때문에 겉껍질을 살짝 긁어낸 후 씻고 섭취하는게 좋습니다.


▶ 활용
*시금치 무침
1. 시금치를 깨끗히 씻고 뿌리는 끝부부만 살짝 정리하고 손으로 줄기부분을 3등분 나누고 물에 담궈서 3~4번 정도 씻기
2. 씻은 시금치를 소금 0.5T 넣고 30초 데치기
3. 찬물로 두번정도 씻어주고 적당한 수분감을 남기고 짜기
4. 데친 시금치, 대파 흰대에 참기름 2큰술을 먼저 넣고 버무려주고 국간장 0.5큰술, 다진마늘 0.5큰술, 소금 한꼬집(양에 따라 조절), 깨 넣고 완성


▶ 시금치 고르는법
시금치는 잎이 두껍고 풍성하며 진한 녹색을 띠고 윤기가 나는 것이 좋습니다.
또, 줄기 부분은 곧게 뻗고 뿌리부터 줄기 아래 부분까지 붉은색이 골고루 퍼져 있으며, 색이 선명하고 튼튼한 것이 좋습니다.


▶ 보관
1. 냉장보관 : 흙이 묻은 상태로 키친타월로 감싼 후 지퍼팩에 넣고 뿌리를 밑으로 향하게 세워 냉장 보관하면 최대 2주도 보관 가능합니다.
2. 냉동보관 : 시금치를 1분정도 살짝 데쳐서 물기를 짜지 않고 밀폐 용기에 넣어서 냉동 보관하면 1년 보관 가능합니다.
(먹기 1시간전에 미리 꺼내서 자연 해동하고 물에 씻어 물기가 살짝 남을 정도로 짜서 먹으면 방금 데친 시금치처럼 싱싱하게 먹을 수 있어요)


▶ 재구매 의사
싱싱해요~ 재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",헬스/건강식품,곤약/방탄커피 외,cust1
"리한 오뚝이 롤리 주걱, 화이트, 1개",5,위생적이고 엄청 편해요~,"◈ 제품명 : 리한 오뚝이 롤리 주걱, 화이트, 1개
◈ 구매일자 : 2023.12.27
◈ 도착일자 : 2023.12.28


▶ 제품 요약
☞ 내부에 금속추를 사용하여 어디든지 세워지는 제품
☞ 주걱 표면 돌기 위에 한번 더 엠보싱 처리를 한 더블엠보싱 공법으로 밥알아 붙지 않는 위생적인 제품
☞ 의류기구와 유아용품에 널리 쓰이는 폴리프로필렌 소재를 사용한 제품


▶ 후기
동생네 집에 놀러 갔다가 리한 오뚜기 롤리 주걱을 보고 반해서 구매하게 됐습니다.
집에 사용하는 제품은 일반 주걱이라 밥을 푸고 나서 주걱 넣는 용기에 넣어 두는데 매번 그 용기까지 씻는게 너무 귀찮더라구요~
좋은 제품 없을까 생각 하고 있었는데 동생네집에가서 오뚝이 주걱 보고 바로 구매 했습니다.
오뚜기 처럼 서는 것도 편하지만 밥알아 안붙어서 너무 좋아요~
더 위생적이고 세척도 일반 주걱보다 훨씬 편합니다.
앞으로 쭉 이 제품만 쓰게 될꺼 같아요~
삶의 질이 높아졌어요~
아주 대만족 합니다.


▶ 주의사항
1. 물을 적신 후 사용하면 좋습니다.
2. 가열 중인 식품에 장기간 담가두고 사용하지 마세요
3. 뒤집게 용도로 사용하지 마세요
4. 세척 시 부드러운 소재의 제품으로 가볍게 세척 하세요
5. 화기 및 충격에 주의 하세요


▶ 재구매 의사
너무 만족해서 또 재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",결혼준비,주방용품,cust1
"밀양 깻잎, 100g, 1개",5,향이 좋아요~,"◈ 제품명 : 밀양 깻잎, 100g, 1개
◈ 구매일자 : 2023.12.27
◈ 도착일자 : 2023.12.28


▶ 제품 요약
☞ 일교차가 큰 밀양에서 자라 잎이 두껍고 씹는맛이 일품
☞ 잎이 두툼하고 향이 진함


▶ 후기
깻잎이 다 떨어져서 재주문 했어요~
파릇파릇 아주 싱싱해요~
회에도 사 먹고 삼겹살, 쭈꾸미에도 싸 먹었는데 향도 강하고 맛있네요~
항상 믿고 주문합니다.


▶ 활용
* 깻잎전
1. 돼지고기 뒷다리살 다짐육 600g, 부침용 두부 1/2모(국물은 짜고 으깨기) 준비하기
2. 당근 1/2개, 양파 1/2개, 대파 1대, 청양고추 2개(씨빼기), 표고버섯 1개 다지기
3. 1,2번 재료를 섞고 다진마늘 1큰술, 다진생강 1작은술, 설탕 1큰술, 소금 0.5큰술, 참기름 1큰술, 밀가루 or 튀김가루 2큰술, 계란 흰자 1개, 후추 넣고 섞기
4. 만든 소를 깻잎 반으로 접어 안에 넣고 계란 묻혀서 굽기


▶ 세척법
깻잎에 상한 꼭지 부분은 잘라 내고 깻잎을 볼에 넣어 물에 5분 정도 담가 둔 다음 흐르는 물에 앞뒤로 한장씩 30초~1분 세척해야 합니다.

식품의약품안전처에서 세척법에 따른 채소 잔류농약 제거율을 비교한 결과 수돗물, 식초물, 소금물 등 잔류농약 제거율에서 거의 차이가 없다고 합니다.
식초물이나 소금물을 넣으면 오히려 채소나 과일이 가진 영양소가 파괴될 수 있고,
남은 잔류 농약이 있더라도 섭취 후 채외로 배출 되는 수준이기 때문에 전혀 걱정하지 않아도 된다고 합니다.


▶ 깻잎 고르는법
깻잎은 향이 강하고 짙은 녹색 빛을 띠는 것이 좋으며, 뒷면에 솜털이 살아 있는것이 좋고 좌우 대칭되는 하트모양을 띠는것이 좋습니다.
또, 뽀족한 끝 부분이 가장 먼저 시들기 쉬운 부분이기 때문에 뽀족한 끝부분이 신선한 것이 좋습니다.
흠집이 있거나 비틀어진 깻잎은 좋지 않으며 붉은 반점이나 검은 반점이 없는 것이 좋아요~
또한, 주황색 반점은 녹균류가 기생하여 발생하는 식물 병으로 점점 더 퍼져 나가며 인체에는 무해하지만 곰팡이의 일종이기 때문에 버리는게 좋아요~


▶ 보관
1. 깻잎을 한장 한장 씻어서 잘 건조하기
2. 남은 물기는 키친타월로 제거하기
3. 꼭지를 끝 부분만 자르고 보관 통에 꼭지가 반 잠길 정도의 물을 넣거나 키친타월을 적셔 아래 깔고 깻잎 꼭지가 물에 닿을 정도로 사진과 같이 세워서 냉장보관하기
- 이렇게 냉장보관하면 한 달 이상도 싱싱하게 보관 가능합니다.


▶ 재구매 의사
또 재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",헬스/건강식품,곤약/방탄커피 외,cust1
"국내산 양배추, 1개입, 1개",5,달콤해요~,"◈ 제품명 : 국내산 양배추, 1개입, 1개
◈ 구매일자 : 2023.12.27
◈ 도착일자 : 2023.12.28


▶ 제품 요약
☞ 우리 땅에서 자란 국내산 제품


▶ 후기
양배추가 떨어져서 재구매 했습니다.
이번 양배추는 1393g 이고 묵직하고 적당한 크기의 양배추가 왔어요~
양배추는 아침 사과양배추당근주스에 매일 챙겨먹고 있어서 떨어지기전에 항상 재구매 하고 있네요~
그 외에도 월남쌈, 볶음밥 등 다양한 요리에 넣어서 챙겨 먹습니다.
아삭하고 달콤하니 맛있어요~


▶ 활용
* 양배추쌈 소스
1. 쌈장 1~2큰술, 마늘 1큰술(다진마늘 사용하지 않고 통마늘을 직접 다져서 사용해야 맛있어요), 청양고추 1~2개를 다져서 넣고 참기름 1큰술 넣고 완성
- 쌈장으로 만든 소스와 초장을 같이 섞어서 먹어도 진짜 맛있어요~


▶ 싱싱한 양배추 고르는법
동그란 모양의 양배추를 고르는게 좋으며, 겉잎이 연녹색이 아닌 진녹색을 띠는게 좋고 눌렀을 때 단단하고 같은 크기의 양배추여도 들었을 때 더 무거운 양배추가 싱싱한 양배추입니다.


▶ 보관
1. 양배추 가운데 심을 잘라서 빼고 거기 위에 물에 적신 키친타월을 넣고 랩으로 감싸서 냉장 보관하면 한달도 보관 가능해요~
2. 두번째는 채 썰고 사각썰기해서 밀폐용기에 키친타월을 깔고 그 위에 양배추를 넣고 다시 키친타월을 깔고 보관해도 오래 보관할 수 있어요~


▶ 재구매 의사
단단하고 묵직해요~ 재구매 의사 있습니다.

제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",식품,채소,cust1
"국내산 부추, 300g, 1개",5,파릇파릇해요~,"◈ 제품명 : 국내산 부추, 300g, 1개
◈ 구매일자 : 2023.12.27
◈ 도착일자 : 2023.12.28


▶ 후기
항상 챙겨먹는 부추가 떨어져서 재주문 했습니다.
이번 부추도 잎 끝이 마르거나 상한거 없이 싱싱한 부추가 왔어요~
꺾인 부분이 있어서 조금 아쉽지만 대체적으로 싱싱합니다.
곱창에 같이 구워서 먹고 곱창소스에도 넣어서 먹었더니 너무 맛있어요~
덮밥, 비빔밥, 두부계란밥 등 다양한 요리에 조금씩 넣어서 먹습니다.


▶ 활용
* 곱창간장소스
1. 간장 3큰술, 식초 1큰술, 설탕 1큰술, 미림 1큰술, 다진마늘 1큰술, 생강 0.5큰술 or 생강가루 소량, 물 3큰술, 순후추 약간 넣고 양념장 완성
2. 부추, 양파 1/2개, 청양고추 2개(선택)을 먹기 좋은 크기로 자르고 양념장이랑 섞으면 완성
- 고춧가루를 추가하면 매콤소스!


▶ 부추 고르는법
잎은 선명한 녹색을 띄면서 향이 진한 것이 좋고 잎 끝이 마르거나 뒤틀려 있지 않고 생기가 있으며,
촉감이 부드럽고 사각사각 소리 나는것을 고르는게 좋습니다.
잎이 넓이가 너무 넓지 않은 부추가 좋으며, 넒이가 너무 넓으면 억세고 질긴 맛이 날 수 있습니다.
또한 잎이 중간에 꺾여있거나 끝부분이 갈변한 것은 수확한지 오래된 것이므로 피하는게 좋습니다.


▶ 보관
부추는 씻지 않고 밀폐용기에 키친타월을 깔고 부추를 넣고 다시 키친타월을 덮어주고 0~10도 이하 냉장보관 하면 한달도 보관가능해요~


▶ 재구매 의사
또 재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",헬스/건강식품,곤약/방탄커피 외,cust1
"감자, 500g, 1개",5,고소해요~,"◈ 제품명 : 감자, 500g, 1개
◈ 구매일자 : 2023.12.27
◈ 도착일자 : 2023.12.28


▶ 제품 요약
☞ 우리 땅에서 자란 국내산 제품


▶ 후기
곱창,특양 구이에 감자를 같이 구워 먹으려고 주문했어요~
1kg 좀 많아서 이번에는 500g만 주문했습니다.
감자 500g에 5개 들어있어요~
싹난거 없이 단단한 감자가 왔습니다.
포슬포슬하고 고소하니 맛있어요~

감자가 싹이 나거나 초록색으로 변했을 경우에는 모든 감자에 독이 퍼지가 때문에 도려내서 먹어도 안되고 꼭 다 버려야 합니다.


▶ 활용
* 체다치즈감자전
1. 감자 2~3개를 강판에 갈아서 전분을 빼주기
2. 전분 빠진 물은 버리고 가라앉은 전분을 강판에 간 감자에 섞고 소금 0.5작은술 넣고 간하기
(전분가루 1큰술을 넣어도 좋아요)
3. 프라이팬에 식용유를 두르고 주먹 하나 크기로 감자를 올려서 굽기
4. 한쪽면이 바삭하게 익으면 뒤집고 그 위에 체다치즈를 조각내서 올려주기
5. 프라이팬면에 감자전도 익으면 완성


▶감자 고르는 법
표면이 울퉁불퉁하지 않고 흠집이 적으며 단단하면서도 묵직하고 표면이 매끈한 감자가 좋아요~


▶ 보관
종이가방으로 종이 상자를 만들고 그 안에 감자를 하나씩 신문지로 싸서 넣고 다시 신문지와 종이가방을 잘라서 덮어서 습기가 없고 통풍이 잘되는 곳에 보관해요~
그냥 종이 상자에만 보관했을때 보다 감자를 하나씩 신문지에 싸서 보관하면 더 오래 보관 가능해요~
햇빛을 차단하면 싹이 트거나 초록색으로 변하는걸 방지해주고 오래 보관 가능해요~
또한, 사과를 같이 넣어서 보관하면 감자 싹을 늦춰 줍니다.


▶ 재구매 의사
싱싱해요~ 재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",식품,채소,cust1
"국내산 깐쪽파, 200g, 1개",5,적당히 알싸하고 맛있어요~,"◈ 제품명 : 국내산 깐쪽파, 200g, 1개
◈ 구매일자 : 2023.12.27
◈ 도착일자 : 2023.12.28


▶ 제품 요약
☞ 우리 땅에서 자란 국내산 쪽파


▶ 후기
쪽파가 떨어져서 재구매 했어요~
전복솥밥, 갈비살덮밥, 조개탕, 두부부침 양념, 콩나물밥 양념 등 다양한 요리에 사용합니다.
흙쪽파가 없어서 깐족파를 구매 했어요~
이번 쪽파는 굵고 색도 선명하고 향도 강하고 무른거 없이 싱싱한 쪽파가 왔습니다.
잘 다듬어진 쪽파라 사용하기 편하네요~
밀폐용기에 키친타월을 깔고 씻지 않은 상태에서 냉장 보관하면 한달도 보관 가능해서 오래 보관하고 다양한 요리에 조금씩 사용하며 먹습니다.

▶ 활용
* 전복솥밥
1. 쌀을 불려놓기(2인분 기준-180ml 한컵반)
3. 고춧가루 2큰술, 진간장 3큰술, 다진마늘 0.5큰술, 설탕 1큰술, 참기름 1큰술, 쪽파, 청양고추(선택), 깨, 후추 넣고 양념장 완성하기
2. 전복내장을 믹서기에 갈고 냄비에 전복내장, 참기름 1T 넣고 볶다가 불린 쌀 넣고 볶고 다시마 1장 넣고 물 넣고 끓이기
3. 쌀이 익으면 먹기 좋은 크기로 자른 전복, 표고버섯, 당근, 쪽파, 청양고추(선택)을 넣고 완성
- 전복솥밥에 양념장 넣고 버터를 넣어서 비벼서 먹으면 맛있어요~


▶ 쪽파 고르는법
쪽파는 선명한 녹색을 띠고 흰 부분이 무르지 않고 둥글고 단단하고 잎 끝 부분이 마르지 않은 것이 좋습니다.
또, 특유의 향이 짙고 길이가 너무 길지 않고 줄기가 시들지 않은 것이 좋으며, 만졌을 때 수분감이 있는 쪽파가 좋습니다.


▶ 보관
흙쪽파를 뿌리를 자르고 뿌리에 있는 흙은 털어 내고 씻지 않은 상태에서 반으로 잘라서 밀폐용기에 키친타월을 깔고 넣어서 냉장 보관하면 오래 보관할 수 있습니다.


▶ 재구매 의사
또 재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",싱글라이프,반찬/간편조리식품,cust1
"산리오캐릭터즈 롤 색칠스티커 2, 아이누리",5,아이들이 너무 좋아해요~,"◈ 제품명 : 산리오캐릭터즈 롤 색칠스티커 2, 아이누리
◈ 구매일자 : 2023.12.24
◈ 도착일자 : 2023.12.25



▶ 이용방법
1. 돌려 말려있는 내지를 쭉 펼쳐서 절취선에 맞게 자른 후
2. 책상에 붙여 색칠놀이를 즐길 수 있음
3. 롤을 쭉 펼친 후 색칠도구를 사용해서 산리오캐릭터즈에 칠할 수 있음
4. 색칠놀이가 모두 끝나면 가위로 그림을 오리면 아이가 원하는 스티거가 완성됨
5. 완성된 스티커를 원하는 곳에 자유롭게 붙임


▶ 후기
8살, 5살의 아이가 요즘 산리오를 너무 좋아해서 색칠놀이 할 수 있는 제품을 찾다가 색칠도 하고 스티커도 되는 산리오캐리터즈 롤 색칠스티커2를 찾아 구매했어요~
여러가지의 산리오 캐릭터가 있어서 아이들이 각자 좋아하는 캐릴터에 색칠하면서 놀더라구요~
테두리만 그려져있어 안에 색상은 아이들이 원하는 색상으로 자유롭게 칠할 수 있어서 더 좋은것 같아요~
그리고 3미터의 롤 형식에 30센치마다 다른 디자인으로 되어 있어요~
그리고 도안의 뒷면은 재접착 할 수 있도록 만든 것인지 잘 떨어져요~
처음에는 롤을 너무 길게해서 그런지 잘 안붙었는데 길이를 좀 짧게하니깐 잘 붙더라구요~
떼었을때 자국도 안남아서 깔끔했어요~
아이들이 색칠해서 완성한 스티커를 붙였다 떼는 것을 계속 반복하면서 놀더라구요~


▶ 장점
아이들이 좋아하는 캐릭터 스티커를 직접 만들어서 좋아요
색칠만 하고 자르면 되서 어린아이들도 쉽게 따라 할 수 있어요


▶ 단점
생각보다 부착력이 좋은 편은 아니에요


▶ 재구매 의사
아이들이 너무 좋아해서 3미터길이의 롤 스티커를 다 이용하면 재구매할 예정이에요


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",아트/공예,데코/포장용품,cust1
"휘슬러 인덕션 레비탈 플러스 컴포트 팬, 24cm, 1개",5,최고의 논스틱 코팅팬~,"◈ 제품명 : 휘슬러 인덕션 레비탈 플러스 컴포트 팬, 24cm, 1개


▶ 제품 요약
☞ 업그레이드 된 독보적인 논스틱 코팅으로 기존 레비탈 컴포트에서 더욱 업그레이드 된 논스틱 코팅으로 재료가 팬에 눌어붙거나 타지 않음
☞ 휘슬러 코팅팬 중에서 가장 뛰어난 논스틱 효과로 오랜 시간 안전하고 건강하게 활용할 수 있음
☞ 전 공정 독일에서 이루어지며, 휘슬러 압력솥과 냄비의 핵심 기술인 쿡스타 바닥 설계와 오목 공법이 적용되어 있음
☞ 팬 내부에 계량 눈금이 표시되어 있어 조리시 유용함


▶ 후기
제품을 실제로 보면 정말 튼튼해보입니다.
디자인도 독특해서 이쁘네요~
휘슬러 팬 중에서 가장 뛰어난 논스틱 효과가 있다고 하는데 실제로 요리할 때 눌어붙지 않아서 너무 편하네요~
휘슬러 냄비와 압력솥에 적용된 오목공법이 적용되어 있어 가열 시 바닥면이 평평해지면서 열을 더 고르게 분산시켜준다고 하네요~
또한 인덕션을 포함한 모든 열원에서 사용이 가능해서 사용하기도 편리해요~

레비탈 플러스 팬은 일반 후라이팬보다 깊이 감이 있는 편이고, 내부에 계량 눈금이 표시되어 있어서 조리할 때 편리하더라구요~
다만, 내부에 표시되어 있는 계량 눈금이 계량컵을 이용해서 물 넣어봤을 때 실제 용량보다는 조금 많게 표시 되어 있는것 같네요~
물 600ml를 넣으니 0.5 눈금에 딱 맞더라구요~
요리하실 때 참고하세요^^
팬 바닥의 지름은 21cm, 위쪽부분 지름은 24cm, 높이는 6cm에요~

실제로 팬을 들어보았을 때 일반 코팅팬을 생각하고 들었더니 무게감이 느껴지더라구요~
휘슬러 레비탈 플러스 24cm 팬무게가 1.2kg이네요~
동일한 크기의 스텐팬 무게랑 거의 비슷하네요~
일반적인 24cm 코팅팬의 경우 600g 정도인 것을 감안했을 때 거의 2배에 가까운 무게입니다.
팬의 손잡이가 손목에 가해지는 무게를 최소화하고 열과 미끄럼에서 보호하도록 디자인 되어 있는데
동일한 무게의 팬을 들어보니 확실히 손목에 부담이 덜 가는 것 같아요~

저는 요리할 때 열을 오랫동안 보존할 수 있는 팬을 선호하는데 일반적으로 두꺼운 팬이 열을 오랫동안 보존하더라구요~
스텐팬처럼 열도 오랫동안 보존하는데 눌어붙지 않으니 요리하기가 너무 쉬워졌네요~

▶ 장점
레비탈 플러스 코팅은 PFOA-Free 인증을 완료하여 요리시 유해성분이 발생하지 않음
팬 바닥에 오목 공법이 적용되어 있어 가열시 바닥면이 평평해지면서 열을 고르게 분산시켜줌
열을 오랫동안 보존하고, 팬의 모든 부분이 고르게 가열되어 조리시 음식이 쉽게 타지 않음
논스틱 코팅으로 요리 시 눌어붙지 않음


▶ 단점
무게가 1.2kg로 무거운 편임

쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",주방용품,냄비/프라이팬,cust1
"돌체구스토 리스트레토 아덴자 캡슐커피, 7g, 16개입, 1개",5,고소해요~,"◈ 제품명 : 돌체구스토 리스트레토 아덴자 캡슐커피, 7g, 16개입, 1개
◈ 구매일자 : 2023.12.17
◈ 도착일자 : 2023.12.17
◈ 유통기한 : 2024.11.30


▶ 제품 요약
☞ 이디오피아, 콜롬비아, 베트남의 프리미엄 원두를 블렌딩한 제품
☞ 스파이시함을 지닌 강렬함
☞ 산화작용을 막아 원두와 아로마를 신선하게 지켜주는 스마트 캡슐


▶ 캠슐 추출 TIP
1. 캡슐 윗면에 적힌 물 용량 칸에 맞춰 물 용량 조절
2. 우유 캡슐이 있는 경우에는 우유 캡슐을 먼저 추출 하고 커피/티/초코 캡슐 추출
3. 아이스 아메리카노는 HOT 버튼으로, 아이스 카푸치노와 네스티는 COLD 버튼으로 추출


▶ 후기
강도 높은 커피를 좋아해서 항상 리스트레토 아덴자 커피 캡슐로 구매합니다.
동생네 놀러가면서 구매 했어요~
결혼 전에는 집에 네스카페 돌체구스토 커피머신이 있어서 항상 쿠팡에서 구매해서 먹었었는데 결혼 후 못 먹다가 동생네 가면서 구매해서 먹었는데 역시 고소하고 맛있네요~
한 캡슐에 35ml 커피강도 11입니다.
아메리카노를 먹지 못해서 항상 카페라떼로 먹는데 우유 150g~160g에 커피 캡슐을 하나를 넣어서 먹으면 쓰지 않고 맛있어요~
산미가 적고 진하며 고소하고 풍미가 좋습니다.
탄맛도 강하지 않아요~
산미가 강하고 탄맛이 있는 커피를 정말 싫어하는 저는 리스트레토는 아덴자가 딱 좋아요~
하루 2잔 꼭 먹는 커피~
사먹는 커피 보다 맛있어요~


▶ 보관
직사광선을 피하고 건조하고 서늘한 곳에 보관


▶ 재구매 의사
재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",홈카페,원두/커피,cust1
